campaign_id,channel,date,impressions,clicks,cost,conversions
F001,Facebook,2026-01-01,13787,476,605.0,56
F002,Facebook,2026-01-02,19191,506,530.77,47
F003,Facebook,2026-01-03,5728,190,176.33,16
F004,Facebook,2026-01-04,6365,259,223.41,42
F005,Facebook,2026-01-05,9492,458,578.52,57
F006,Facebook,2026-01-06,5698,282,311.13,20
F007,Facebook,2026-01-07,12186,633,813.75,69
F008,Facebook,2026-01-08,19512,946,1318.22,81
F009,Facebook,2026-01-09,18923,863,931.17,147
F010,Facebook,2026-01-10,5395,138,204.03,5
F001,Facebook,2026-01-11,19780,652,696.92,46
F002,Facebook,2026-01-12,12400,452,497.34,41
F003,Facebook,2026-01-13,13082,245,247.52,26
F004,Facebook,2026-01-14,9171,355,177.54,56
F005,Facebook,2026-01-15,9360,324,388.49,16
F006,Facebook,2026-01-16,7502,383,383.84,58
F007,Facebook,2026-01-17,15011,885,792.96,42
F008,Facebook,2026-01-18,5717,228,319.55,36
F009,Facebook,2026-01-19,7782,229,166.66,10
F010,Facebook,2026-01-20,9946,168,163.96,7
F001,Facebook,2026-01-21,16769,949,1107.87,130
F002,Facebook,2026-01-22,10486,590,752.91,105
F003,Facebook,2026-01-23,13335,351,317.75,58
F004,Facebook,2026-01-24,9980,462,612.75,55
F005,Facebook,2026-01-25,16332,300,373.74,50
F006,Facebook,2026-01-26,12266,275,130.04,11
F007,Facebook,2026-01-27,9491,234,105.4,41
F008,Facebook,2026-01-28,12192,344,372.51,37
F009,Facebook,2026-01-29,16130,964,754.0,136
F010,Facebook,2026-01-30,10588,490,308.72,75
F001,Facebook,2026-01-31,12651,408,423.35,57
F002,Facebook,2026-02-01,8636,415,321.92,47
F003,Facebook,2026-02-02,16414,922,913.69,98
F004,Facebook,2026-02-03,6167,358,324.39,56
F005,Facebook,2026-02-04,15808,278,290.02,19
F006,Facebook,2026-02-05,6062,198,166.39,34
F007,Facebook,2026-02-06,7156,141,164.61,19
F008,Facebook,2026-02-07,12860,387,231.45,26
F009,Facebook,2026-02-08,10161,230,268.21,32
F010,Facebook,2026-02-09,10305,454,387.18,51
F001,Facebook,2026-02-10,16174,525,714.92,72
F002,Facebook,2026-02-11,11541,292,282.29,43
F003,Facebook,2026-02-12,16486,444,652.87,23
F004,Facebook,2026-02-13,9729,303,321.83,33
F005,Facebook,2026-02-14,14348,383,247.51,65
F006,Facebook,2026-02-15,12330,436,568.53,37
F007,Facebook,2026-02-16,10334,170,132.53,20
F008,Facebook,2026-02-17,13924,384,300.43,35
F009,Facebook,2026-02-18,9330,312,135.72,32
F010,Facebook,2026-02-19,13010,548,549.97,64
F001,Facebook,2026-02-20,11801,320,316.12,37
F002,Facebook,2026-02-21,9846,206,163.07,14
F003,Facebook,2026-02-22,11731,216,298.87,29
F004,Facebook,2026-02-23,12241,701,379.68,36
F005,Facebook,2026-02-24,5953,200,152.62,11
F006,Facebook,2026-02-25,7539,310,233.66,12
F007,Facebook,2026-02-26,12056,679,340.53,38
F008,Facebook,2026-02-27,16516,309,287.14,32
F009,Facebook,2026-02-28,16493,898,1038.59,112
F010,Facebook,2026-03-01,6542,260,250.33,39
F001,Facebook,2026-03-02,10293,230,131.72,12
F002,Facebook,2026-03-03,18964,635,517.53,101
F003,Facebook,2026-03-04,6191,309,124.48,44
F004,Facebook,2026-03-05,11313,414,561.02,40
F005,Facebook,2026-03-06,18704,1109,546.7,189
F006,Facebook,2026-03-07,16185,517,546.47,92
F007,Facebook,2026-03-08,11938,581,862.72,39
F008,Facebook,2026-03-09,7681,251,248.55,23
F009,Facebook,2026-03-10,14409,753,1066.58,127
F010,Facebook,2026-03-11,6540,265,174.83,37
F001,Facebook,2026-03-12,11172,199,245.95,9
F002,Facebook,2026-03-13,16428,273,268.74,40
F003,Facebook,2026-03-14,10541,221,263.56,34
F004,Facebook,2026-03-15,15578,243,113.86,35
F005,Facebook,2026-03-16,16911,311,174.94,47
F006,Facebook,2026-03-17,18807,867,473.75,134
F007,Facebook,2026-03-18,14580,569,657.7,37
F008,Facebook,2026-03-19,15048,733,974.07,53
F009,Facebook,2026-03-20,6365,357,437.17,45
F010,Facebook,2026-03-21,13691,565,244.94,94
F001,Facebook,2026-03-22,14872,709,959.94,59
F002,Facebook,2026-03-23,13702,672,530.59,82
F003,Facebook,2026-03-24,12494,399,333.92,54
F004,Facebook,2026-03-25,9312,240,123.69,24
F005,Facebook,2026-03-26,6324,153,185.31,21
F006,Facebook,2026-03-27,14347,377,226.39,62
F007,Facebook,2026-03-28,15019,410,418.35,52
F008,Facebook,2026-03-29,8141,198,262.31,22
F009,Facebook,2026-03-30,12419,677,337.23,68
F010,Facebook,2026-03-31,8486,416,411.37,50
F001,Facebook,2026-04-01,6810,116,76.16,10
F002,Facebook,2026-04-02,11588,313,243.27,29
F003,Facebook,2026-04-03,7923,126,116.09,14
F004,Facebook,2026-04-04,10301,385,304.39,18
F005,Facebook,2026-04-05,15406,561,624.79,40
F006,Facebook,2026-04-06,9186,481,446.15,55
F007,Facebook,2026-04-07,13905,401,418.09,40
F008,Facebook,2026-04-08,10977,567,686.36,49
F009,Facebook,2026-04-09,16794,983,996.29,139
F010,Facebook,2026-04-10,17326,328,342.82,44
